cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,39,0.02,0
0.0,0,0,39,0.03,0
0.0,0,0,39,0.05,0
0.0,0,0,39,0.06,0
0.0,0,0,39,0.07,0
0.0,0,0,39,0.09,0
0.0,0,0,39,0.1,0
0.0,0,0,39,0.12,0
0.0,0,0,39,0.13,0
0.0,0,0,39,0.15,0
0.0,0,0,39,0.16,0
0.0,0,0,39,0.17,0
0.0,0,0,39,0.19,0
187.2,0,0,39,0.2,0
0.0,0,0,39,0.21,0
0.0,0,0,39,0.22,0
0.0,0,0,39,0.23,0
0.0,0,0,39,0.24,0
0.0,0,0,39,0.26,0
0.0,0,0,39,0.27,0
0.0,0,0,39,0.28,0
0.0,0,0,39,0.29,0
0.0,0,0,39,0.3,0
0.0,0,0,39,0.32,0
0.0,0,0,39,0.33,0
0.0,0,0,39,0.34,0
0.0,0,0,39,0.36,0
83.1,0,0,39,0.37,0
0.0,0,0,39,0.38,0
0.0,0,0,39,0.39,0
0.0,0,0,39,0.4,0
0.0,0,0,39,0.42,0
0.0,0,0,39,0.43,0
0.0,0,0,39,0.46,0
0.0,0,0,39,0.47,0
0.0,0,0,39,0.48,0
0.0,0,0,39,0.49,0
0.0,0,0,39,0.5,0
0.0,0,0,39,0.51,0
0.0,0,0,39,0.52,0
89.1,0,0,39,0.53,0
0.0,0,0,39,0.54,0
0.0,0,0,39,0.55,0
0.0,0,0,39,0.57,0
0.0,0,0,39,0.58,0
0.0,0,0,39,0.59,0
0.0,0,0,39,0.6,0
0.0,0,0,39,0.62,0
0.0,0,0,39,0.64,0
0.0,0,0,39,0.65,0
0.0,0,0,39,0.66,0
0.0,0,0,39,0.67,0
0.0,0,0,39,0.69,0
0.0,0,0,39,0.7,0
0.0,0,0,39,0.71,0
91.8,0,0,39,0.73,0
0.0,0,0,39,0.74,0
0.0,0,0,39,0.75,0
0.0,0,0,39,0.77,0
0.0,0,0,39,0.78,0
0.0,0,0,39,0.79,0
0.0,0,0,39,0.8,0
0.0,0,0,39,0.81,0
0.0,0,0,39,0.82,0
0.0,0,0,39,0.83,0
0.0,0,0,39,0.84,0
0.0,0,0,39,0.86,0
0.0,0,0,39,0.87,0
0.0,0,0,39,0.88,0
0.0,0,0,39,0.89,0
0.0,0,0,39,0.9,0
0.0,0,0,39,0.91,0
0.0,0,0,39,0.92,0
