cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,38,0.5,0
2.0,0,0,38,1.0,0
0.0,0,0,38,1.51,0
0.0,0,0,38,2.02,0
0.0,0,0,38,2.52,0
0.0,0,0,38,3.02,0
0.0,0,0,38,3.52,0
0.0,0,0,38,4.02,0
0.0,0,0,38,4.52,0
0.0,0,0,38,5.02,0
0.0,3,0,38,5.53,3
4.0,11,0,38,6.03,11
0.0,13,0,38,6.54,15
2.0,17,0,38,7.04,26
0.0,17,0,38,7.54,27
0.0,17,0,38,8.04,29
0.0,17,0,38,8.54,29
0.0,17,0,38,9.04,29
0.0,17,0,38,9.54,29
0.0,17,0,38,10.05,29
29.9,111,0,40,10.55,283
30.0,459,0,40,11.05,773
22.0,646,0,40,11.55,1123
18.0,734,0,40,12.05,1355
17.9,803,0,40,12.55,1610
13.9,860,0,40,13.06,1841
16.0,902,0,40,13.56,2057
24.0,956,0,40,14.06,2418
43.9,1000,33,41,14.56,3218
26.0,1000,65,41,15.06,3600
15.8,1000,84,41,15.57,3778
14.0,1000,95,41,16.07,3890
18.0,1000,110,41,16.57,4030
21.9,1000,123,41,17.07,4205
34.0,1000,140,41,17.57,4415
10.0,1000,150,41,18.07,4534
14.0,1000,164,41,18.57,4700
14.0,1000,177,41,19.07,4855
14.0,1000,195,41,19.57,5052
9.9,1000,200,41,20.08,5152
12.0,1000,214,41,20.58,5316
12.0,1000,227,41,21.08,5487
16.0,1000,248,41,21.58,5700
14.0,1000,261,41,22.08,5873
12.0,1000,272,41,22.58,6025
15.8,1000,288,41,23.09,6194
12.0,1000,303,41,23.59,6362
14.0,1000,312,41,24.09,6527
13.9,1000,330,41,24.6,6707
16.0,1000,352,41,25.1,6939
15.9,1000,376,41,25.6,7219
19.7,1000,393,41,26.11,7515
16.0,1000,416,41,26.61,7764
20.0,1000,442,41,27.11,8065
14.0,1000,460,41,27.61,8254
14.0,1000,481,41,28.11,8447
18.0,1000,500,41,28.61,8735
10.0,1000,508,41,29.11,8853
10.0,1000,526,41,29.61,9041
24.0,1000,553,41,30.11,9397
18.0,1000,571,41,30.61,9641
19.8,1000,609,41,31.12,9981
16.0,1000,630,41,31.62,10214
8.0,1000,642,41,32.12,10329
8.0,1000,655,41,32.62,10441
5.9,1000,666,41,33.13,10533
12.0,1000,675,41,33.63,10677
12.0,1000,684,41,34.13,10815
9.9,1000,699,41,34.63,10979
16.0,1000,715,41,35.13,11197
9.9,1000,724,41,35.64,11309
10.0,1000,733,41,36.14,11395
6.0,1000,738,41,36.64,11475
7.9,1000,744,41,37.14,11562
8.0,1000,748,41,37.64,11672
8.0,1000,763,41,38.15,11783
10.0,1000,771,41,38.65,11907
10.0,1000,780,41,39.15,12031
7.9,1000,786,41,39.65,12150
7.9,1000,789,41,40.16,12240
8.0,1000,797,41,40.66,12376
13.8,1000,815,41,41.17,12578
11.9,1000,836,41,41.67,12747
14.0,1000,862,41,42.17,12975
11.9,1000,872,41,42.68,13149
14.0,1000,889,41,43.18,13344
12.0,1000,894,41,43.68,13516
12.0,1000,913,41,44.18,13676
7.9,1000,922,41,44.69,13821
12.0,1000,939,41,45.19,13952
12.0,1000,952,41,45.69,14089
18.0,1000,973,41,46.19,14269
18.0,1000,992,41,46.69,14446
12.0,1000,1000,41,47.19,14594
17.7,1000,1028,41,47.7,14843
14.0,1000,1043,41,48.2,15035
17.8,1000,1057,41,48.71,15267
18.0,1000,1084,41,49.21,15537
16.0,1000,1103,41,49.71,15792
12.0,1000,1123,41,50.21,15961
10.0,1000,1140,41,50.71,16118
11.9,1000,1151,41,51.21,16284
12.0,1000,1167,41,51.71,16463
12.0,1000,1183,41,52.22,16649
8.0,1000,1191,41,52.72,16760
10.0,1000,1199,41,53.22,16889
8.0,1000,1206,41,53.72,16983
6.0,1000,1211,41,54.22,17078
13.9,1000,1234,41,54.73,17244
14.0,1000,1252,41,55.23,17459
9.8,1000,1267,41,55.74,17608
8.0,1000,1279,41,56.24,17701
10.0,1000,1296,41,56.74,17842
20.0,1000,1317,41,57.24,18141
16.0,1000,1337,41,57.74,18358
12.0,1000,1347,41,58.24,18495
11.9,1000,1363,41,58.75,18668
10.0,1000,1378,41,59.25,18807
12.0,1000,1388,41,59.75,18959
13.9,1000,1405,41,60.25,19152
