cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,38,0.54,0
0.0,0,0,38,1.2,0
0.0,0,0,38,1.95,0
0.0,0,0,38,2.45,0
0.0,0,0,38,3.11,0
0.0,0,0,38,3.61,0
0.0,0,0,38,4.11,0
2.0,0,0,38,4.61,0
0.0,0,0,38,5.11,0
0.0,6,0,38,5.61,6
1.4,11,0,38,6.32,11
0.0,16,0,38,6.82,22
2.0,18,0,38,7.32,26
0.0,18,0,38,7.82,29
2.0,18,0,38,8.32,29
0.0,18,0,38,8.82,29
0.0,18,0,38,9.32,29
0.0,18,0,38,9.82,29
10.0,122,0,39,10.32,195
22.0,380,0,39,10.82,508
17.9,549,0,40,11.32,770
24.0,708,0,40,11.83,1132
16.0,782,0,40,12.33,1380
18.0,831,0,40,12.83,1594
14.0,887,0,40,13.33,1795
15.9,925,0,40,13.83,2045
37.9,1000,12,40,14.33,2742
36.0,1000,55,41,14.83,3312
18.0,1000,72,41,15.33,3553
9.9,1000,89,41,15.84,3688
9.9,1000,100,41,16.34,3802
12.0,1000,115,41,16.84,3962
17.9,1000,139,41,17.34,4207
11.9,1000,153,41,17.85,4360
14.0,1000,162,41,18.35,4506
11.9,1000,176,41,18.85,4659
14.0,1000,194,41,19.35,4854
9.9,1000,204,41,19.85,4974
11.8,1000,215,41,20.36,5114
13.9,1000,226,41,20.87,5294
14.0,1000,243,41,21.37,5493
19.9,1000,260,41,21.87,5702
9.9,1000,269,41,22.38,5841
11.9,1000,285,41,22.88,6018
11.9,1000,297,41,23.38,6170
14.0,1000,317,41,23.88,6357
12.0,1000,330,41,24.38,6534
18.0,1000,349,41,24.88,6745
16.0,1000,368,41,25.38,6984
22.0,1000,394,41,25.88,7290
16.0,1000,412,41,26.39,7545
22.0,1000,437,41,26.89,7862
12.0,1000,459,41,27.39,8055
14.0,1000,474,41,27.89,8246
17.8,1000,493,41,28.39,8509
12.0,1000,510,41,28.89,8680
12.0,1000,519,41,29.4,8827
22.0,1000,545,41,29.9,9171
15.9,1000,571,41,30.4,9416
28.0,999,573,41,30.9,9811
18.0,1000,589,41,31.4,10087
11.9,1000,605,41,31.91,10237
7.9,1000,619,41,32.41,10342
10.0,1000,629,41,32.91,10462
8.0,1000,640,41,33.41,10583
13.9,1000,648,41,33.92,10751
15.9,1000,662,41,34.42,10971
18.0,1000,684,41,34.92,11223
16.0,1000,699,41,35.42,11449
10.0,1000,714,41,35.92,11565
6.0,1000,718,41,36.42,11656
11.9,1000,725,41,36.93,11784
7.9,1000,731,41,37.43,11907
12.0,1000,746,41,37.94,12048
11.9,1000,754,41,38.44,12205
11.9,1000,770,41,38.95,12374
13.9,1000,782,41,39.45,12536
7.9,1000,790,41,39.95,12660
11.9,1000,802,41,40.46,12807
16.0,1000,819,41,40.96,13018
18.0,1000,837,41,41.46,13258
16.0,1000,852,41,41.96,13476
19.8,1000,882,41,42.46,13781
18.0,1000,901,41,42.96,14008
18.0,1000,924,41,43.46,14304
16.0,1000,938,41,43.97,14509
14.0,1000,954,41,44.47,14714
12.0,1000,966,41,44.97,14861
11.9,1000,989,41,45.47,15065
13.9,1000,1003,41,45.97,15248
18.0,1000,1020,41,46.47,15484
14.0,1000,1036,41,46.97,15677
19.8,1000,1058,41,47.48,15938
22.0,1000,1084,41,47.98,16251
18.0,1000,1102,41,48.48,16518
22.0,1000,1126,41,48.98,16854
24.0,1000,1158,41,49.48,17227
18.0,1000,1179,41,49.98,17526
16.0,1000,1195,41,50.48,17739
22.0,1000,1281,41,50.98,18071
22.0,1000,1432,41,51.48,18415
22.0,1000,1592,41,51.98,18797
20.0,1000,1708,41,52.48,19138
16.0,1000,1798,41,52.98,19358
18.0,1000,1924,41,53.48,19646
12.0,1000,1999,41,53.98,19828
14.0,1000,2098,41,54.49,20054
21.9,1000,2277,41,54.99,20431
24.0,1000,2431,41,55.49,20848
20.0,1000,2569,41,55.99,21175
13.8,1000,2666,41,56.5,21397
18.0,1000,2795,41,57.0,21690
37.9,1000,3126,41,57.5,22412
26.0,1000,3311,41,58.0,22867
17.9,1000,3422,41,58.5,23163
19.8,1000,3575,41,59.01,23525
18.0,1000,3690,41,59.51,23813
18.0,1000,3805,41,60.01,24105
12.0,1000,3856,41,60.51,24237
