cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
2.0,0,0,38,0.5,0
0.0,0,0,38,1.0,0
0.0,0,0,38,1.51,0
0.0,0,0,38,2.01,0
2.0,0,0,38,2.51,0
0.0,0,0,38,3.01,0
0.0,0,0,38,3.51,0
0.0,0,0,38,4.01,0
0.0,0,0,38,4.51,0
0.0,5,0,38,5.01,5
6.0,13,0,38,5.52,16
0.0,17,0,38,6.02,22
2.0,19,0,38,6.52,28
0.0,23,0,38,7.02,37
2.0,23,0,38,7.52,41
0.0,23,0,38,8.02,41
0.0,23,0,38,8.53,41
0.0,23,0,38,9.03,41
0.0,23,0,38,9.53,41
0.0,23,0,38,10.03,41
23.9,221,0,39,10.53,327
20.0,424,0,40,11.03,613
21.9,605,0,40,11.54,923
20.0,711,0,40,12.04,1191
17.9,793,0,41,12.54,1438
16.0,860,0,41,13.04,1673
16.0,903,0,41,13.54,1855
18.0,951,0,41,14.04,2118
43.1,1000,11,42,14.55,2914
31.8,1000,68,42,15.06,3483
15.8,1000,91,42,15.56,3699
11.6,1000,100,42,16.08,3818
14.0,1000,108,42,16.58,3942
16.0,1000,126,42,17.08,4135
19.9,1000,142,42,17.59,4374
13.9,1000,158,42,18.09,4524
14.0,1000,171,42,18.59,4656
16.0,1000,187,42,19.09,4835
14.0,1000,200,42,19.59,5012
8.0,1000,208,42,20.09,5136
8.0,1000,215,42,20.59,5227
