cpu_percent,table_occupancy,rejected_flows,memory_mb,time,packet_in_count
0.0,0,0,38,0.5,0
0.0,0,0,38,1.0,0
0.0,0,0,38,1.5,0
0.0,0,0,38,2.0,0
0.0,0,0,38,2.51,0
0.0,0,0,38,3.01,0
0.0,0,0,38,3.51,0
0.0,0,0,38,4.01,0
2.0,0,0,38,4.51,0
0.0,0,0,38,5.01,0
2.0,3,0,38,5.51,3
0.0,9,0,38,6.01,9
2.0,13,0,38,6.51,16
0.0,18,0,38,7.02,25
0.0,18,0,38,7.52,26
2.0,18,0,38,8.02,29
0.0,18,0,38,8.53,29
0.0,18,0,38,9.04,29
0.0,18,0,38,9.54,29
0.0,18,0,38,10.04,30
28.0,262,0,39,10.54,388
23.9,473,0,40,11.04,686
25.8,657,0,40,11.55,1033
20.0,750,0,40,12.05,1283
19.9,750,67,41,12.55,1520
16.0,750,140,41,13.05,1743
17.9,750,221,41,13.55,1959
30.0,750,373,41,14.06,2401
43.9,750,601,41,14.56,3131
23.9,750,725,41,15.06,3530
13.9,750,783,41,15.56,3693
12.0,750,819,41,16.06,3811
14.0,750,868,41,16.56,3959
15.9,750,924,41,17.07,4151
18.0,750,987,41,17.57,4371
10.0,750,1030,41,18.07,4489
13.8,750,1084,41,18.58,4641
15.9,750,1138,41,19.08,4815
15.8,750,1202,41,19.58,4991
8.0,750,1240,41,20.08,5107
17.8,750,1295,41,20.59,5276
17.9,750,1336,41,21.09,5448
16.0,750,1408,41,21.59,5664
14.0,750,1456,41,22.09,5820
15.9,750,1511,41,22.59,5985
13.7,750,1555,41,23.1,6148
15.9,750,1621,41,23.61,6343
11.9,750,1673,41,24.11,6485
16.0,750,1743,41,24.61,6665
17.9,750,1815,41,25.12,6905
23.5,750,1926,41,25.63,7221
21.9,750,2010,41,26.13,7522
18.0,750,2083,41,26.63,7750
24.0,750,2168,41,27.13,8045
18.0,750,2233,41,27.63,8249
16.0,750,2292,41,28.13,8446
21.8,750,2376,41,28.64,8719
12.0,750,2398,41,29.14,8829
15.9,750,2454,41,29.64,9027
23.9,750,2575,41,30.14,9385
22.0,750,2652,41,30.64,9639
24.0,750,2776,41,31.14,9971
18.0,750,2854,41,31.65,10190
13.9,750,2902,41,32.15,10344
14.0,750,2953,41,32.65,10479
12.0,750,2998,41,33.15,10596
19.9,750,3067,41,33.65,10835
16.0,750,3132,41,34.15,11030
19.9,750,3224,41,34.66,11292
26.0,750,3342,41,35.16,11647
17.9,750,3405,41,35.66,11875
12.0,750,3455,41,36.16,12015
12.0,750,3493,41,36.66,12136
12.0,750,3555,41,37.16,12293
12.0,750,3599,41,37.66,12432
16.0,750,3666,41,38.16,12632
17.9,750,3734,41,38.67,12842
18.0,750,3796,41,39.17,13044
16.0,750,3863,41,39.67,13236
12.0,750,3917,41,40.17,13396
16.0,750,3973,41,40.67,13566
18.0,750,4051,41,41.17,13823
23.9,750,4148,41,41.67,14140
22.0,750,4259,41,42.17,14438
32.0,750,4398,41,42.67,14836
21.7,750,4474,41,43.18,15106
26.0,750,4592,41,43.68,15443
23.9,750,4665,41,44.19,15719
22.0,750,4754,41,44.69,16000
17.9,750,4818,41,45.19,16226
18.0,750,4885,41,45.69,16441
18.0,750,4963,41,46.19,16683
20.0,750,5050,41,46.69,16938
23.9,750,5142,41,47.19,17257
21.9,750,5219,41,47.69,17538
28.0,750,5355,41,48.19,17940
23.9,750,5450,41,48.7,18247
29.8,750,5583,41,49.2,18668
29.9,750,5723,41,49.7,19071
29.9,750,5875,41,50.2,19513
22.0,750,5957,41,50.7,19803
19.9,750,6064,41,51.21,20124
20.0,750,6134,41,51.71,20350
20.0,750,6223,41,52.21,20629
26.0,750,6317,41,52.71,20945
20.0,750,6410,41,53.21,21208
16.0,750,6451,41,53.71,21372
17.8,750,6533,41,54.21,21593
12.0,750,6579,41,54.72,21736
13.9,750,6639,41,55.22,21909
28.0,750,6752,41,55.72,22262
24.0,750,6884,41,56.22,22612
21.9,750,6965,41,56.72,22864
11.9,750,7031,41,57.23,23040
20.0,750,7104,41,57.73,23291
33.9,750,7279,41,58.23,23839
28.0,750,7385,41,58.73,24164
18.0,750,7460,41,59.23,24395
24.0,750,7545,41,59.73,24655
19.9,750,7604,41,60.23,24885
